title,track,course,rooms,days,time_slots,description,expected_result,tags,tech_areas,author,telegram,links,repository,avg_score,expert_count,mentor_score,score_актуальность,score_практ_значимость,score_новизна,score_импакт,score_rd_сложность,score_масштабирование,score_критерий_7,expert_comments
LLAMATOR — Python-фреймворк для автоматического тестирования безопасности LLM-систем.,Индустриальный,,,,,"Разработать MCP-сервер для фреймворка llamator, автоматизирующий процессы red teaming для LLM.

Ожидаемый результат: MCP-сервер для llamator.",MCP-сервер для llamator.,LLM; ML в промышленности; NLP; Security,,Студент_746,@user_268,,,,,,,,,,,,,
LLAMATOR: фреймворк для тестирования безопасности LLM-систем,Индустриальный,,,,,"Реализовать MCP-сервер для фреймворка LLAMATOR, что позволит с лёгкостью интегрировать решение в агентные сети

Ожидаемый результат: Реализован MCP-сервер для LLAMATOR",Реализован MCP-сервер для LLAMATOR,LLM; ML в промышленности; NLP; Security; Агенты,,Студент_600,@user_155,,,,,,,,,,,,,
LLM Agents Uncertainty,Научный,1 курс,LLM,2026-01-23,13:30:00,"- изучить релевантные статьи по LLM Uncertainty и LLM Agents Uncertainty
- сформулировать теоретическую модель оценки неуверенности LLM агентов
- предложить гипотезы для экспериментов
- реализовать и протестировать некоторые из предложенных гипотез

Ожидаемый результат: Сформулирована математическая модель оценки неуверенности LLM агентов и проверен ряд гипотез",Сформулирована математическая модель оценки неуверенности LLM агентов и проверен ряд гипотез,LLM; NLP; Research; Агенты,Agentic_AI; Data_Scientist; LLM; NLP,Студент_069,@user_610,https://docs.google.com/document/d/1TKIj4Upqmv-nC9HDQOMOHsSNMvEQULzkfDrjnhOBTyc/edit?usp=sharing,,2.71,1,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,
LLM Agents в поддержке T-Tech,Индустриальный,,,,,"Проект: LLM-агенты в поддержке T-Tech.

Собрать и анонимизировать логи; разметить траектории с помощью crowdsource.

Развернуть пайплайн: хранение, трейсинг, автотесты; симулятор тулов.

Собрать агентский бенчмарк для оценки моделей.

Собрать MVP гибкого агента на GPT.

Выполнить дистилляцию одной процедуры.

Настроить RL Pipeline для обучения моделей в multi-turn режиме на распределенном кластере, иметь поддержку обучения 70B+ моделей.

Обобщить на несколько процедур: политика выбора инструмента, унификация инструкций.

Ожидаемый результат: 3+ агентов в проде на своих моделях",3+ агентов в проде на своих моделях,EdTech; LLM; ML в промышленности; NLP; Агенты,,Студент_307,@user_406,,,,,,,,,,,,,
LLM AutoBench,Научный,,,,,"проведены первые иссследования, выбран домен и уже начинаем делать MVP

Ожидаемый результат: Работаю с Студент_2274 и Студент_2275.",Работаю с Студент_2274 и Студент_2275.,LLM; NLP; Research,,Студент_2059,@user_694,,,,,,,,,,,,,
LLM-ассистент для анализа данных на SQL,Индустриальный,1 курс,"Туризм, досуг + NLP",2026-01-22,17:45:00,"1. Изучение принципов построения LLM-воркфлоу с локальными моделями, способных интерпретировать естественные запросы и генерировать SQL-код
2. Разработка пайплайна для взаимодействия агента с многотабличной SQL-базой данных
3. Интеграция генерации графиков и визуализаций с использованием Streamlit
4. Проведение валидации и тестирования решения на нескольких доменах (например, продажи, логистика, HR-аналитика)
5. Подготовка MVP-версии интерфейса и оценка точности и удобства работы системы",,Geo; HR; LLM; ML в промышленности; NLP; Агенты,Data_Scientist; ML,Студент_718,@user_244,https://drive.google.com/drive/folders/1w2sh_OznBhVQk3b_Y4kX6uumCH2p1JBp?usp=sharing,,1.57,1,5.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,
local intrinsic dimension for generative models,Научный,1 курс,"NLP, Diffusion Models",2026-01-23,13:30:00,,,CV; NLP; Research,CV; Other,Студент_053,,https://drive.google.com/drive/folders/1MLPqzoQwRA9YcUTPxB7Lni-ztOTyo64E?usp=sharing,,2.71,1,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,
Looqs,Стартап,,,,,"Занимаюсь ML частью проекта Looqs, который мы уже презентовали в рамках AITH. Startup Track и демо дня 11.10.

В течение семестра:
- уже провели запуск pre-MVP в России на мужской аудитории
Предстоит
- разработка MVP мультимодального поиска в домене fashion
- интеграция ML движка в веб-сервис
- доработка под ЖЦА
- тестовый запуск в США для сбора ключевых бизнес-метрик
- запуск под ЖЦА в РФ

Ожидаемый результат: Готовый MVP проекта, проведенные запуски MVP в РФ и США","Готовый MVP проекта, проведенные запуски MVP в РФ и США",VLM; Стартап,,Студент_427,@user_035,,,,,,,,,,,,,
Looqs AI,Стартап,,Презентация проектов перед бизнес - партнерами,2026-01-23,18:30:00,"- Запустить MVP на мужской аудитории в РФ
- Запустить MVP на женской аудитории в РФ",,Business; Стартап,,Студент_929,@user_399,,,2.1,3,,2.33,2.0,2.0,2.0,1.67,3.0,1.67,Очень большой вопрос по безопасности данных пользователей и регуляторным требованиям по ПД. Еще было бы интересно попробовать продавать как продукт для конкретных магазинов. Ostin пару лет назад запустил нечто подобное.
LP детектор,Индустриальный,,,,,"1. завести репозиторий
2. собрать данных для детектора
3. итеративно увеливаем  архитектуру детектора
4. пробуем трансформерные детекторы

Ожидаемый результат: у детектора увеличена архитектура и исправлены все проблемы, которые сыпались с прода","у детектора увеличена архитектура и исправлены все проблемы, которые сыпались с прода",ML в промышленности,,Студент_348,@expert_097,,,,,,,,,,,,,
Manuspect,Стартап,2 курс,Прожарка,2026-01-23,14:15:00,"Реализовать ИИ ассистента, способного улучшить работу технической поддержке.
На данный момент стартап уже имеет проект для отдела продаж и продает данный продукт на рынке.
Мы хотим реализовать похожую технологию, но уже для технического отдела.
Для этого нужно:
    -- Провести анализ конкурентов. Выделить полюсы и минусы решений, которые они предлагают. 
    -- Сформировать первое виденье продукта вместе с командой на основе информации о конкурентов, предыдущего опыта Manuspect в отделе продаж и опыта сотрудников технической поддирке.
    -- Сформировать техническое решение и разработать стартовый MVP
    -- Узнать мнение потенциальных клиентов о продукте
    -- Итеративно корректировать продукт до более качественного решение

Ожидаемый результат: MVP решение для технической поддержки включающая в себя техническое решение и продуктовое виденье",MVP решение для технической поддержки включающая в себя техническое решение и продуктовое виденье,Audio; CV; LLM; NLP; VLM; Агенты; Стартап,Agentic_AI; Audio; CV; Data_Scientist; LLM; MLOps; NLP; VLM,Студент_766,@user_585,https://drive.google.com/drive/folders/1_B6YzVEX9VUIEhRYTSKCYXtQZ1ojWTwD?usp=sharing,,2.43,1,5.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,"Мне не хватило динамики рынка - непонятно, а реально ли есть потенциал для масштабирования. В том числе экспертные интеревью будут гуд подходить тут. И презентацию бы начала с боли, а не кому полезны — будто бы реверс"
Manuspect Virtual Assistant,Индустриальный,1 курс,,,,"-

Ожидаемый результат: -",-,ML в промышленности,,Студент_589,@user_637,,,,,,,,,,,,,
Marine Mammal Audio Respesentation Learning,Научный,,,,,"Провести исследование существующих архитектур, способных эффективно энкодить звуки животных, адаптировать их под звуки морских млекопитающих. Натренировать энкодер. Выбрать подходящие downstream задачи для оценки качества модели, натренировать соответствующие модели. Сделать выводы из проделанной работы. Проанализировать эмбединги и соответствующие им звуки, структурировать их и интерпретировать.

Ожидаемый результат: Выполнение всех пунктов плана. Возможно, готовая научная статья для публикации в последующих конференциях","Выполнение всех пунктов плана. Возможно, готовая научная статья для публикации в последующих конференциях",Audio; Research,,Студент_005,@user_165,,,,,,,,,,,,,
marl in dynamic systems,Demo Day,,RL,2026-01-23,14:45:00,,,RL,,,,,,2.14,1,,2.0,2.0,2.0,2.0,3.0,2.0,2.0,
mas retrieval для автоматизиции бизнес процесса обработки документов,Demo Day (Бизнес),,"Бизнес - процессы, промышленность",2026-01-22,13:45:00,,,Business; ML; ML в промышленности; RAG,,,,,,2.07,2,,2.5,2.0,2.0,3.0,1.0,2.0,2.0,
mcp-сервер для llamator,Demo Day,,Безопасность,2026-01-22,13:15:00,,,Security,,,,,,2.71,1,,3.0,3.0,2.0,2.0,3.0,3.0,3.0,
MediAi,Стартап,1 курс,,,,"На последнем этапе пре-акселя обсудили планы по поиску первый клиентов и выхода на международку (+ конечно тех развитие продукта)

Ожидаемый результат: есть платящие клиенты",есть платящие клиенты,Стартап,,Студент_1141,@user_588,,,,,,,,,,,,,
mediai - ai медиатор для пар,Demo Day (Бизнес),,Прожарка,2026-01-23,15:15:00,,,,,,,,,1.79,2,,2.0,2.0,2.0,2.0,2.0,1.0,1.5,"Непонятно, что будет, если пары решат свою проблему? Приложение будет предлагать им что-то другое? 
Будто бы очень узкий сегмент людей осознанно пойдут к боту решать проблемы"
MediaTracking,Индустриальный,2 курс,Презентация проектов перед бизнес - партнерами,2026-01-23,16:45:00,"- подготовка данных и обучение базовой модели для определения тематики текстов
- итеративное улучшение качества модели классификации, проведение экспериментов, оценка метрик и снижение количества ""шума""
- выбор и тестирование готового решения для саммаризации текстов
- оформление моделей в виде компонентов для интеграции в основную систему

Ожидаемый результат: Рабочие модели, способные автоматически определять тематику и генерировать краткое содержание текстов, интегрированные в основной модуль для обработки новых данных","Рабочие модели, способные автоматически определять тематику и генерировать краткое содержание текстов, интегрированные в основной модуль для обработки новых данных",Business; EdTech; ML в промышленности; NLP,Other,Студент_854,@expert_051,https://drive.google.com/drive/folders/1rVp-t1xDEL4afiEf11DjXcKdalQAPZjC,,2.57,2,5.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,
"MedTech, wellness, психология",Demo Day,,комната 4,2026-01-22,,,,EdTech; MedTech,,,,,,,,,,,,,,,,
Memorix,Стартап,,Презентация проектов перед бизнес - партнерами,2026-01-23,15:00:00,"1. Продуктовые исследования и проектирование MVP версии продукта
2. Доработка MVP на основе решенческих интервью и обратной связи
3. Успешное окончание преакселератора ИТМО и поступление на программу акселератора
4. Привлечение первых пользователей продукта
5. Регулярная доработка продукта и добавление новых фич
6. Построение юнит-экономики продукта и маркетинговой стратегии

Ожидаемый результат: Разработать MVP продукта и выход на первых пользователей",Разработать MVP продукта и выход на первых пользователей,Business; Стартап,,Студент_599,@user_153,,,2.79,2,,3.0,3.0,2.0,3.0,3.0,3.0,2.5,
Middle Egyptian Translator,Научный,,,,,"Хотим продолжать двигаться в синтезе данных для малоресурсных языков, применить новые и более продвинутые методы, возможно переложить их на другие языки

Ожидаемый результат: Улучшение метрик для среднеегипетского, при успехе адаптация алгоритма для другох языков","Улучшение метрик для среднеегипетского, при успехе адаптация алгоритма для другох языков",NLP; Research,,Студент_028,@expert_202,,,,,,,,,,,,,
MindEscape,Индустриальный,,,,,"Основная задача — развитие игры Mind Escape и участие в смежных проектах компании Agnetics, включая управленческую и инженерную деятельность.
Таким образом, план включает следующие этапы:
    1. Финализировать 2D-версию Mind Escape до играбельного состояния: структурировать сюжет (перевод с Miro в markdown/mermaid), учесть реализованные игровые механики, добавить концовки и элементы игрового цикла.
    2. При необходимости оптимизировать и частично переписать бэк-движок для повышения читаемости кода, улучшения структуры и удобства интеграции ИИ-агентов.
    3. В рамках 3D-версии — организовать процесс командной работы: постановка и приём задач, проведение синков и демо, отслеживание прогресса и согласование направлений развития.
    4. Параллельно — участие в задачах Agnetics (B2B-направление): выполнение бэкенд-, DevOps- и интеграционных задач, связанных с агентными системами и инфраструктурой развертывания.

Ожидаемый результат: Готовая демонстрационная версия 2D-игры Mind Escape с завершённой сюжетной структурой, базовыми концовками и работоспособным игровым циклом. Отлаженный процесс командного взаимодействия в 3D-проекте (проведённые синки, собранные отчёты, зафиксированные результаты). Выполненные прикладные задачи в рамках Agnetics — участие в разработке и интеграции бэкенд- и DevOps-решений, подтверждающее практическое применение навыков в индустриальном контексте.","Готовая демонстрационная версия 2D-игры Mind Escape с завершённой сюжетной структурой, базовыми концовками и работоспособным игровым циклом. Отлаженный процесс командного взаимодействия в 3D-проекте (проведённые синки, собранные отчёты, зафиксированные результаты). Выполненные прикладные задачи в рамках Agnetics — участие в разработке и интеграции бэкенд- и DevOps-решений, подтверждающее практическое применение навыков в индустриальном контексте.",Gaming; ML в промышленности; NLP; Агенты,,Студент_743,@user_266,,,,,,,,,,,,,
ML в Fintech,Demo Day,,"ML в Fintech; ML в промышленности, RAG, NLP, Автономные агенты; NLP",2026-01-22,,,,FinTech; ML в промышленности; NLP,,,,,,,,,,,,,,,,
ML в промышленности,Demo Day,,"ML в промышленности, RAG, NLP, Автономные агенты; Recsys / предиктивная аналитика; комната 2",2026-01-22; 2026-01-23,13:30-14:30,,,ML в промышленности; NLP; RecSys,,,,,,,,,,,,,,,,
"ML в промышленности, Временные ряды",Demo Day,,"ML в промышленности, RAG, NLP, Автономные агенты",2026-01-22,,,,ML в промышленности; NLP,,,,,,,,,,,,,,,,
"ML, MARL, мульти-агентные системы",Demo Day,,ML в Fintech,2026-01-22,,,,FinTech; Агенты,,,,,,,,,,,,,,,,
MLизация игровых механик,Индустриальный,2 курс,"Геймификация, визуализация, 3D",2026-01-22,14:45:00,"1)  Погружение в данные, механику продукта, основными метриками
2) Аналитика/построение моделей 
3) A/B тестирование
4) Расчет LTV

Ожидаемый результат: Проведен пилот",Проведен пилот,3D/Games; Gaming; ML в промышленности; NLP,Data_Scientist; ML; NLP,Студент_966,@user_437,https://drive.google.com/drive/folders/1niHvdWAeEBWylnsKm0r6bVWo6YIkwrwM?usp=sharing,,2.29,3,5.0,3.0,2.67,2.0,2.0,1.33,2.33,2.67,"Полное решение актуальной проблемы, готовое к использованию студиями, однако в нем нет какой-то научной новизны, может быть интересно игровым студиям казуальных фтп игр. Важно что протестировано в продакшене на собственном проекте с помощью A/B-T / Multiarmed"
MODERA,Стартап,,,,,"Продуктивизация кодовой базы;
Исследование новых архитектур для обучения генеративных моделей для виртуальной примерочной;
Стилист - подбор искусственным интеллектом похожих стилей на более качественных моделях, подбор целых образов, учет оттенка кожи;
Исследование возможностей примерки аксессуаров;

Ожидаемый результат: Развернуть полноценное продакшен решение, настроить инфраструктуру, имплементировать новые фишки на основе ИИ","Развернуть полноценное продакшен решение, настроить инфраструктуру, имплементировать новые фишки на основе ИИ",EdTech; Стартап,,Студент_443,@user_045,,,,,,,,,,,,,
MODERA FASHION,Стартап,2 курс,Презентация проектов перед бизнес - партнерами,2026-01-23,17:15:00,"План включает несколько этапов. Первый - развертывание API видео-генерации: нужно создать работающий сервис, упаковать его в Docker, описать API в OpenAPI и настроить CI/CD. 

Второй этап - создание ML-пайплайна для генерации видео из изображений. Он включает препроцессинг, инференс и постпроцессинг. Нужно написать скрипты, тесты и предоставить демо-видео с отчетом о качестве.

Третий этап - написание парсеров для онлайн-магазинов. Они должны собирать данные с карточек товаров и каталогов, обрабатывать пагинацию и ошибки, а также сохранять информацию в БД или S3-хранилище.

Четвертый этап - реализация генерации коллажей для AI-стилиста. Нужно создать функционал для компоновки образов из каталога, работы с фоном и разметкой, а также обеспечить экспорт в стандартные форматы.

Завершающий этап - разработка системы рекомендаций для подбора стилей и коллажей на основе атрибутов и предпочтений. Также нужно определить метрики качества и подготовить сценарии для A/B-тестирования.",,Business; CV; GeoAI; LLM; NLP; Стартап,LLM,Студент_771,@user_281,https://drive.google.com/drive/folders/1pik9oidnrg3b7fxzSW0wj6OXG5_UbwjA,,2.57,2,5.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,
MODERA.FASHION (проект на ВКР) ПушИИстик,Стартап,,,,,"1. MODERA.FASHION Примерка одежды, новая модель сер ноября 2025
2. MODERA.FASHION Примерка аксессуаров, исследование и разработка сер дек 2025
3. MODERA.FASHION AI Stylist приложение конец декабря 2025
4. MODERA.FASHION Телеграм бот примерки приложение конец декабря 2025
5. MODERA.FASHION Внедрение AR в демо режиме конец января 2025

1. ПушИИстик Исследование конец октября 2025
2. ПушИИстик Speech pipeline нояб 2025
3. ПушИИстик  модуль дек 2025
4. ПушИИстик English модуль дек 2025
5. ПушИИстик GuardRails модуль дек 2025 
6. ПушИИстик Safety модуль дек 2025",,ASR; Стартап,,Студент_557,@user_701,,,,,,,,,,,,,
Multi-agent Reinforcement Learning for game theory and economics applications,Научный,,,,,"Изучение статей и литературы по направлению Multi-agent Reinforcement Learning
Тестирование гипотез, проведение экспериментов и сбор данных с дальнейшим написанием статьи 
(Цель ""написание статьи"" входит в план, но вероятно не на этот семестр)

Ожидаемый результат: Проведение ресерча и подготовка материалов для написания статьи в будущем",Проведение ресерча и подготовка материалов для написания статьи в будущем,Gaming; Research; Агенты,,Студент_669,@user_201,,,,,,,,,,,,,
multi-language deception detection engine,Научный,2 курс,Audio,2026-01-23,11:00:00,,,Audio; CV; Research,Audio; CV,Студент_711,,https://docs.google.com/presentation/d/1nzXxp2bgPUYsT-ycZWsxfiRAafewI2yhWpBzZHajLw0/edit?slide=id.g3b8d458a5eb_0_0#slide=id.g3b8d458a5eb_0_0,,1.86,1,5.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,
Multiagent systems,Demo Day,,комната 1,2026-01-23,16:00 - 17:00,,,Агенты,,,,,,,,,,,,,,,,
mutagen,Стартап,1 курс,,,,"1. Идейная проработка архитектуры продукта
2. Бизнес-метрики
3. Приступить делать MVP

Ожидаемый результат: Проработанный идейно сервис, в идеале - готовое MVP","Проработанный идейно сервис, в идеале - готовое MVP",Стартап,,Студент_1149,@user_590,,,,,,,,,,,,,
n2ai: mindgames,Demo Day,,LLM,2026-01-23,14:45:00,,,Gaming; LLM,,,,,,2.5,2,,2.0,2.0,3.0,3.0,3.0,2.0,2.5,
Nastavnik,Индустриальный,,,,,"-

Ожидаемый результат: -",-,ML в промышленности,,Студент_320,@user_635,,,,,,,,,,,,,
nastavnikai - платформа персонализированного адаптивного обучения,Индустриальный,1 курс,Образование/ наука,2026-01-22,17:30:00,,,EdTech; LLM; ML в промышленности; NLP; RecSys,LLM; NLP,Студент_320,,https://drive.google.com/drive/folders/1KL39-JXQqmQh_BPKINM3Pww71WjzGdc3,,2.19,3,5.0,3.0,2.0,2.0,1.67,2.67,2.0,2.0,"как исследование довольно любопытно, хотелось бы увидеть каких сейчас практичных результатов достигает решение | Хочется каких-то схем или визуала, думать прям сложно (или я уже подустала просто). Подход интересный, но пока на начальной стадии, с данными будет уже прям интереснее."
NeonPay,Стартап,,FinTech,2026-01-22,13:00:00,"План работы на семестр:

Cформулировать гипотезы о ключевых проблемах пользователей
Разработать скрипт и провести глубинные интервью с потенциальными пользователями (криптодержатели, частные покупатели, мелкие продавцы)
Проанализировать результаты интервью, выделить паттерны и уточнить целевую аудиторию и ценность продукта
Сформировать первичный продуктовый фокус: основные сценарии использования, ключевые функции MVP
Проработать пользовательские потоки и разработать требования к прототипу
Провести валидацию прототипа с 5–10 респондентами и собрать фидбек
На основе фидбека скорректировать функционал и приоритеты, подготовить продуктовую дорожную карту на ближайшие 3–6 месяцев
Сформировать набор метрик успеха и гипотез для будущих A/B-тестов или итераций

Ожидаемый результат: Предполагаемый результат: четко сформулированное продуктовое видение, подтвержденное пользовательскими данными, прототип MVP и дорожная карта для запуска пилотной версии NeonPay","Предполагаемый результат: четко сформулированное продуктовое видение, подтвержденное пользовательскими данными, прототип MVP и дорожная карта для запуска пилотной версии NeonPay",FinTech; GeoAI; ML в Fintech; Стартап,,Студент_1987,@user_680,,,,,,,,,,,,,
Nettyan,Индустриальный,1 курс,,,,"1. Backend разработка - миграция базы данных с SQLite на Postgres:
Настройка миграции к БД и миграция существующей БД
Внедрение ORM в коде Python для новой версии базы данных
Развёртывание новой БД, внедрение в docker-compose проекта
Адаптация БД к хранению полных агентных данных
2. Разработка лендинга для проекта NetTyan
Бэк на Python для лэндинга
Frontend, предположительно на React или Vue
3. Задачи B2B Agnetics, изучение работы с n8n и другими «продовыми» агентными фреймворками. Предварительно: задача доработки агента в проекте ""Ассистент продюсера для уточняющих вопросов"" для Reboot, вероятно будет заменено другим проектом.

Ожидаемый результат: Успешная миграция базы на Postgres без урезания функционала существующего прототипа Сайт-лендинг проекта нейростримерши NetTyan с возможностью обращения к БД по нику Изучен агентный фреймворк n8n + (опционально) выполнен проект для заказчика, все требования учтены","Успешная миграция базы на Postgres без урезания функционала существующего прототипа Сайт-лендинг проекта нейростримерши NetTyan с возможностью обращения к БД по нику Изучен агентный фреймворк n8n + (опционально) выполнен проект для заказчика, все требования учтены",Gaming; ML в промышленности; NLP; Агенты,Other,Студент_886,@user_640,https://drive.google.com/drive/folders/190cv__m37A4W5TZg1k1I_wcmTjBR3vLs?usp=sharing,,,,5.0,,,,,,,,
NLP Автономные агенты,Demo Day,,NLP,2026-01-22,,,,NLP; Агенты,,,,,,,,,,,,,,,,
nlp задачи в мегафон,Demo Day,,Промышленность,2026-01-22,11:15:00,,,ML; ML в промышленности; NLP,,,,,,2.86,1,,3.0,3.0,2.0,3.0,3.0,3.0,3.0,
NLP исследования,Научный,,,,,"Пока в процессе поиска темы исследования, ибо хотелось бы, чтобы практика в последствии стала ВКР

Ожидаемый результат: Draft научной статьи",Draft научной статьи,NLP; Research,,Студент_011,@user_378,,,,,,,,,,,,,
"NLP, Diffusion Models",Demo Day,,комната 1,2026-01-23,13:30-14:30,,,NLP,,,,,,,,,,,,,,,,
"NLP, EdTech",Demo Day,,EdTech; Recsys / предиктивная аналитика,2026-01-22,,,,EdTech; NLP; RecSys,,,,,,,,,,,,,,,,
"NLP, Автономные агенты",Demo Day,,EdTech; NLP; Recsys / предиктивная аналитика,2026-01-22,,,,EdTech; NLP; RecSys; Агенты,,,,,,,,,,,,,,,,
"NLP, Автономные агенты, EdTech",Demo Day,,EdTech,2026-01-22,,,,EdTech; NLP; Агенты,,,,,,,,,,,,,,,,
"NLP, Автономные агенты, Обучение с подкреплением",Demo Day,,ML в Fintech,2026-01-22,,,,EdTech; FinTech; NLP; Агенты,,,,,,,,,,,,,,,,
"NLP, Автономные агенты, Распознавание речи, Синтез речи",Demo Day,,Recsys / предиктивная аналитика,2026-01-22,,,,ASR; CV; NLP; RecSys; Агенты,,,,,,,,,,,,,,,,
"NLP, Автономные модели, Распознавание речи, Синтез речи",Demo Day,,EdTech,2026-01-22,,,,ASR; CV; EdTech; NLP; Агенты,,,,,,,,,,,,,,,,
"NLP, машинный перевод",Demo Day,,EdTech,2026-01-22,,,,EdTech; NLP,,,,,,,,,,,,,,,,
"NLP, Обучение с подкреплением",Demo Day,,NLP,2026-01-22,,,,EdTech; NLP,,,,,,,,,,,,,,,,
"NLP, Языки",Demo Day,,комната 1,2026-01-23,12:15 - 13:15,,,NLP,,,,,,,,,,,,,,,,
"NLP,Автономные агенты",Demo Day,,NLP,2026-01-22,,,,NLP; Агенты,,,,,,,,,,,,,,,,
Norma Checker,Стартап,,,,,"-

Ожидаемый результат: -",-,Стартап,,Студент_169,@user_280,,,,,,,,,,,,,
OCR for egyptology,Научный,2 курс,CV,2026-01-23,13:30:00,"нужно будет тюнить vlm, чтобы  они распознавали текст и может быть делали детекцию символов. 
Сформулировать это как предложить новый способ использования модели, чтобы она хорошо решала нашу задачу. Ну и делать синтетику, более сложную"" - Студент_1698

Ожидаемый результат: По идее - синтетика новая + наработки по обучению vlm. Более подробно планируем к концу октября обсудить",По идее - синтетика новая + наработки по обучению vlm. Более подробно планируем к концу октября обсудить,CV; EdTech; NLP; Research; VLM,CV; Data_Scientist; ML; NLP; VLM,Студент_062,@expert_067,https://drive.google.com/drive/folders/1cd74EPC8Fv42EmVTJcPt8LBHnpglJs8P?usp=sharing,,,,5.0,,,,,,,,
orca bioacoustics classifier,Demo Day,,Audio,2026-01-23,11:00:00,,,Audio,,,,,,1.86,1,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,
OSA: Инструмент улучшения научных репозиториев на базе LLM,Научный,1 курс,Agent,2026-01-23,11:00:00,"Улучшение модуля генерации документации фреймворка Open Source Advisor

1. Изучить различные способы и фреймворки для генерации документации (OSA, RepoAgent, DocAgent, DeepWiki open)
2. Проанализировать, какие их составляющие больше всего влияют на качество документации (докстрингов)
3. Предложить способы улучшения работы модуля docgen в OSA, позволяющие получить более качественную документацию
4. Оценить метрики качества, интегрировать результат в OSA

Предполагаемый результат: улучшения внедрены в прод, драфт статьи",,Agents; LLM; NLP; Research; Агенты,Data_Scientist; LLM; ML,Студент_026,@user_021,https://drive.google.com/drive/folders/11gMKaVDsarq8T4E9NdqMGYbtGfamfdlm?usp=sharing,,2.21,2,5.0,3.0,2.5,2.0,2.0,2.0,2.0,2.0,
overcookedlm,Demo Day (Бизнес),,"Бизнес - процессы, промышленность",2026-01-22,13:00:00,,,Business; ML; ML в промышленности,,,,,,1.57,1,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,
OZON-банк call-центр,Индустриальный,,,,,"Если используется 2‑канальная телефония (агент и клиент в отдельных каналах), диаризация не нужна. Мы разделяем и нормализуем каналы (16 кГц PCM, выравнивание уровня, лёгкий denoise), делаем VAD по каждому каналу и распознаём речь параллельно в GigaAM (стримингово для низкой задержки). Роли фиксируем по каналу: агент/chX, клиент/chY. Затем объединяем сегменты по таймкодам в единую ленту диалога, отмечая перекрытия. GigaAM заметно быстрее и менее прожорлив по памяти, чем Whisper‑large; возможные ошибки корректируем в постпроцессинге/через RAG (лексикон доменных терминов, нормализация чисел и пунктуации). Если запись моно или участников больше двух, тогда подключаем pyannote (с настройкой min_speech_duration) и при необходимости эмбеддинги для кластеризации собеседников.

Касаемо RAG я бы взял opensearch/elastic так как они идеально подойдут по скорости + функционал с RRF/minmax нормализациями и тп встроен и работает гораздо быстрее конкурентов + можно внутреннее сделать нграмное разделение для онлайн предложений ответа. Я сомневаюсь, что у нас будет время на гибридный поиск, так как отвечать нужно быстро, поэтому можно использовать иерархический подход, который изначально будет подбирать фильтр тематики вопроса по ключевым словам, а затем уже основной поиск по Филдам с ngram через BM25 подходом с нормализацией, это будет самый быстрый подход для поиска, я его реализовывал и эксперементировал много где и прям хорошо идет

Касаемо обработок документации для рекомендаций ответов идеально подойдет pdfium так как подойдет и для картинок и для текста с сематическим разделением по токенам, но тут нужно посмотреть на сами доки, так как границы + колонтитулы для таблиц c обработкой через Camelot и тп, тут уже сразу не скажу

Ожидаемый результат: Выкатка MVP",Выкатка MVP,ASR; FinTech; GeoAI; ML в промышленности; NLP; RAG; Агенты,,Студент_921,@user_626,,,,,,,,,,,,,
personal diet assistant,Стартап,2 курс,Медицина,2026-01-22,16:45:00,,,MedTech; RecSys,Data_Scientist; ML; RecSys,Студент_962,,https://docs.google.com/presentation/d/1gsurIrWBIzhKmid2y_0UjC-jB8_zHG4AQcSuUowEs2k/edit?usp=sharing,,1.86,1,5.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,
praxis-core,Индустриальный,,,,,"1. Установочная встреча с командой и руководителями для согласования требований, ожиданий, правил работы и дедлайнов.
2. Итеративная работа двухнедельными спринтами.
3. Релиз в конце каждого спринта, корректировка ожиданий и требований по итогам.

Ожидаемый результат: Вывести продукт в продакшен (в промышленную эксплуатацию) до конца года.",Вывести продукт в продакшен (в промышленную эксплуатацию) до конца года.,ML в промышленности,,Студент_951,@user_422,,,,,,,,,,,,,
praxis-core / praxis-core,Demo Day,,HR,2026-01-22,12:15:00,,,RecSys,,,,,,2.86,1,,3.0,3.0,3.0,3.0,3.0,2.0,3.0,
PrediSense,Стартап,1 курс,"Продажи, B2B, услуги, маркетинг, ритэйл",2026-01-22,15:00:00,"У нас уже есть готовый продукт, который работает, в нем уже более 30 пользователей.
Планы на этот семестр: развивать далее проект, работать с экспертами в рамках стартап акселератора, найти научника и рицензента, готовиться к выходу на мировой уровень.

Ожидаемый результат: 100 пользователей и плюс 10 платящих пользователей",100 пользователей и плюс 10 платящих пользователей,Business; Research; Стартап,Other,Студент_174,@expert_242,https://drive.google.com/drive/folders/1ci7Sp90oLs0Jd8ZoVtpbguUmW2ikW6Ig,,2.86,2,5.0,3.0,3.0,2.5,3.0,2.5,3.0,3.0,"Нехватило информации про техническую реализацию. Прозвучала фраза ""с помощью сложного машинного обуения делаем прогноз"""
