title,track,course,rooms,days,time_slots,team,description,expected_result,tags,tech_areas,author,telegram_contact,links,repository,avg_score,expert_count,mentor_involvement,score_актуальность,score_практ_значимость,score_новизна,score_импакт,score_rd_сложность,score_масштабирование,score_критерий_7,expert_comments
AI-компанибен для профориентации,Индустриальный,,,,,,"[Трек: Индустриальный] Разработка и тестирование AI-компаньона
Парсинг данных профилей вузов, данных о актуальных курсах
Обеспечение устойчивости генерации и проведения проф. ориентационных тестов
Создание БД для пользователей и данных
Сбор фидбека от пользователей

Ожидаемый результат: Готовый MVP",Готовый MVP,EdTech; ML в промышленности,,Студент_638,@user_181,,,0,0,,,,,,,,,
AI-компаньон для профориентации,Индустриальный,1 курс,HR,2026-01-22,11:45:00,,"[Трек: Индустриальный] Доработать MVP с хакатона - повысить точность, устойчивость, и внедрить запланированные TODO

Ожидаемый результат: Рабочий продукт готовый к развертыванию",Рабочий продукт готовый к развертыванию,Автономные агенты; EdTech; NLP; RecSys; ML в промышленности; Recsys; LLM,NLP; LLM; Agentic_AI; ML; MLOps,Студент_942,@user_410,https://drive.google.com/drive/folders/1tGXHJXbyQusUupn_IxFxADqWe-Dfp690?usp=sharing,,2.0,1,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,
AI-метеоролог: многоагентная система для анализа погодных даных,Научный,,,,,,"[Трек: Научный] На данный момент тематика LLM-агентов для задач описания физики погоды недостаточно хорошо раскрыта. Потенциал применения агентных систем в анализе метеорологических данных представлен в виде автоматической генерации погодных бюллитеней, которые информируют другие организации (отделы Рисков банков) и службы (в т.ч. МЧС) о состоянии погоды на ближайшие 3-5 суток.

Текущий план исследования состоит из ряда этапов в течении семестра:

1. Разработка агентной системы и экспертной оценки сгенерированных данных на соответствие корректности описания состояния погоды над рассматриваемыми локациями;

2. Проведение экспериментов по масштабированию модулей подсистемы анализа табличных погодных данных (оптимальное описание больших таблиц) для анализа прогнозова до 5 суток с часовым разрешением на 8 погодных параметров (>5*24*8 == 960 погодных данных, привязанных ко времени);

3. Проведение экспериментов по детальному анализу погодных данных (внедрение агентов-аналитиков, способных использовать инструменты анализа временных рядов при работе с погодными данными);

4. Оформление результатов в формате демонстрационного трека на ближайшие A* конференции (AAAI2026 Workshop AI for Environmental Science, CHI2026);

Ожидаемый результат: Подача статьи / демонстрации на A*/Q1",Подача статьи / демонстрации на A*/Q1,Автономные агенты; Research; FinTech; NLP; LLM,,Студент_059,@user_114,,,0,0,,,,,,,,,
ai-навигация по строительному объекту,,,"Бизнес-процессы, промышленность",2026-01-22,16:45:00,,,,Business; ML,,,,,,3.0,1,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
AI-навигация по строительному объекту на основе 360° контента,Индустриальный,1 курс,,,,,"[Трек: Индустриальный] 1. Анализ научных статей 
2. Формализация требований к конечному результату
3. Исследование и анализ по собранным данным
4. Разработка модуля сопоставления 3d кадров для создания трека с сопоставлением с картой объекта
5. Разработка модуля сравнения кадров относительно времени с целью контроля прогресса и выявления проблем
6. Тестирование на собранных данных

Ожидаемый результат: Модули сопоставления 3D кадров, составления трека движения и сравнения изменений на объекте","Модули сопоставления 3D кадров, составления трека движения и сравнения изменений на объекте",Автономные агенты; Research; GeoAI; Gaming; CV; ML в промышленности,CV; Agentic_AI; ML,Студент_345,@user_633,https://drive.google.com/drive/folders/1NitQCCURBty7CdYEkxYxjtPnHt62_WvS?usp=sharing,,0,0,5.0,,,,,,,,
AI-помощник преподавателя,Education,,,,,,"[Трек: Education] План работы на семестр:
1. Изучение существующих решений, определение целей и функционала системы, проектирование архитектуры и выбор метрик качества.
2. Сбор учебных заданий и ответов студентов, очистка и разметка данных, формирование обучающей выборки.
3. Создание моделей для генерации заданий, проверки ответов и автоматической оценки, обучение и оценка их качества.
4. Реализация веб-прототипа и интеграция ML-модулей
5. Тестирование

Ожидаемый результат: Ожидаемый результат к концу семестра: работающий прототип AI-помощника и отчёт о результатах проекта",Ожидаемый результат к концу семестра: работающий прототип AI-помощника и отчёт о результатах проекта,EdTech,,Студент_198,@user_113,,,0,0,,,,,,,,,
AI-ускоренная МРТ реконструкция и детекция патологий коленного сустава,Индустриальный,,,,,,"[Трек: Индустриальный] План работы на семестр 1 (осень 2025)

1. Комплексный литературный обзор и документирование текущего состояния
Предполагаемый результат: Технический документ с систематизацией литературы по трём направлениям.

2. Координация с ML-командой: синхронизация и постановка задач
Предполагаемый результат: Понимание текущего состояния проекта, план технических задач для ML-команды.

3. Координация внедрения улучшенных функций потерь для реконструкции
Предполагаемый результат: Технический бриф для ML-команды с обоснованием подхода. Модели с новыми функциями потерь обучены ML-командой

4. Координация улучшения модели детекции патологий
Предполагаемый результат: Техническое задание для ML-команды с клиническим обоснованием. Новая модель детекции обучена и протестирована ML-командой

5. Итоговая документация и планирование следующего этапа
Предполагаемый результат: Технический отчёт за семестр с полным анализом. План работ на весенний семестр 2025",,EdTech; ML в промышленности,,Студент_869,@user_345,,,0,0,,,,,,,,,
AI4Science,Научный,,,,,,"[Трек: Научный] исследование и доработка существующих решений agents4science. Разработка своего собственного.

Ожидаемый результат: доработаная система для написания статей end2end с незанчительным участием человека. Драфт статьи на Q1/A* конференцию.",доработаная система для написания статей end2end с незанчительным участием человека. Драфт статьи на Q1/A* конференцию.,Автономные агенты; Research,,Студент_988,@user_619,,,0,0,,,,,,,,,
Ai4science lab,Научный,,,,,,"[Трек: Научный] Софт для автоматического написания статей, возможно начнем с части рецензента",,Research,,Студент_883,@expert_026,,,0,0,,,,,,,,,
AI4Scoence,Научный,,,,,,"[Трек: Научный] исследование и доработка существующих решений agents4science. Разработка своего собственного.

Ожидаемый результат: доработаная система для написания статей end2end с незанчительным участием человека. Драфт статьи на Q1/A* конференцию.",доработаная система для написания статей end2end с незанчительным участием человека. Драфт статьи на Q1/A* конференцию.,Автономные агенты; Research,,Студент_908,@user_380,,,0,0,,,,,,,,,
aida (ai dialog assistant),,,Презентация проектов перед бизнес - партнерами,2026-01-23,17:30:00,,,,Business,,,,,,2.43,2,,3.0,3.0,2.0,2.0,2.0,3.0,2.0,
AIDA (AI dialogue assistant),Стартап,,,,,,"[Трек: Стартап] 1) Проблемные интервью
2) Решенческие интервью
3) Коридорные интервью
4) Запустить MVP
5) Подобрать каналы продвижения
6) Выход на первые продажи

Ожидаемый результат: Первая продажа",Первая продажа,Стартап,,Студент_598,@user_152,,,0,0,,,,,,,,,
Altyn AI,Научный,,,,,,"[Трек: Научный] - Изучение текущего прогресса по проекту
- Изучение SOTA подходов в text-to-sql системах
- Повторяю SOTA на бенчмарке BIRD

Ожидаемый результат: Повторяю SOTA на бенчмарке BIRD",Повторяю SOTA на бенчмарке BIRD,Research,,Студент_905,@user_377,,,0,0,,,,,,,,,
Ancient languages and AI in Archeology,Научный,1 курс,Agent,2026-01-23,11:00:00,,"[Трек: Научный] 1) Формирование итогового датасета и предобработка TLA (это корпус древнеегиптеских текстов и их переводы, разметка от египтологов) 
2) Эксперименты с обучением эмбеддингов
3) Качественная оценка эмбедингов на задачах египтологов

Ожидаемый результат: Создать и оценить набор моделей эмбеддингов для древнеегипетского языка, которые покажут  качество в решении конкретных лингвистических задач, поставленных египтологами.","Создать и оценить набор моделей эмбеддингов для древнеегипетского языка, которые покажут  качество в решении конкретных лингвистических задач, поставленных египтологами.",Agents; Автономные агенты; Research; EdTech; NLP; LLM,NLP; LLM; Agentic_AI; ML; Data_Scientist,Студент_027,@user_273,https://drive.google.com/drive/folders/16ebI1cUFwrdfwYRhKxS8xgzSum_qNR9V?usp=sharing,,2.21,2,4.0,3.0,2.0,2.5,2.0,2.0,2.0,2.0,
animal communication,,,Audio,2026-01-23,11:00:00,,,,Audio,,,,,,1.57,1,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,
antei,Индустриальный,,,,,,"[Трек: Индустриальный] пока еще прохожу отбор в этот проект

Ожидаемый результат: пока еще прохожу отбор в этот проект, договорились на реализацию определенного функционала","пока еще прохожу отбор в этот проект, договорились на реализацию определенного функционала",ML в промышленности,,Студент_010,@user_641,,,0,0,,,,,,,,,
Arabic LLM,Научный,1 курс,"NLP, Языки",2026-01-23,12:15:00,,"[Трек: Научный] 1. Планируется собрать сбалансированный и качественный набор датасетов для оценки владения большими языковыми моделями арабским языком. Это включает оценку на разных родах задач (языковое понимание, логическое мышление на арабском, а также на прикладные сценарии взаимодействия). Будут рассмотрены разные диалекты и стили текста. 
2. После этого будет проведено сравнение существующих популярных моделей на выбранных наборах данных, а также тестирование собственной исследовательской модели. 
3. Планируется серия экспериментов, направленных на анализ того, как различные архитектурные модификации влияют на языковые способности модели и качество генерации",,NLP; Research; LLM,NLP; LLM,Студент_489,@user_078,https://drive.google.com/drive/folders/1ie298LNsjbrfFatfVFk6g_L8cGgtI9lF?usp=sharing,,2.71,1,5.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,
"ASR, RAG и LLM",Demo Day,,Recsys / предиктивная аналитика,2026-01-22,,,,,ASR; RAG; NLP; LLM,,,,,,0,0,,,,,,,,,
AutoDS: Multi-Agent System for Automated Data Science,Научный,,,,,,"[Трек: Научный] 1. Провести аналитический обзор научной литературы и существующих подходов к реализации AutoML на основе многоагентных систем (МАС) с использованием больших языковых моделей (БЯМ)
2. Разработать базового агента на основе архитектуры ReAct (Reasoning and Acting).
3. Разработать метод для интеграции знаний о библиотеках машинного обучения (ML) и автоматизированного машинного обучения (AutoML) в агента.
4. Подготовить бенчмарк для оценки эффективности разработанного агента.

Ожидаемый результат: 1. Автономная агентная система, оснащённая методом интеграции знаний о DS-инструментах. 2. Драфт научной статьи на Workshop/Demo Track.","1. Автономная агентная система, оснащённая методом интеграции знаний о DS-инструментах. 2. Драфт научной статьи на Workshop/Demo Track.",Автономные агенты; NLP; Research; EdTech,,Студент_108,@user_222,,,0,0,,,,,,,,,
automated assessment of large language models confidence in multi-step data analytics workflows,,,NLP,2026-01-23,11:00:00,,,,NLP; LLM,,,,,,2.25,3,,3.0,2.33,2.33,1.67,2.67,2.0,1.5,
AutoML LLM GuardRails,Индустриальный,,,,,,"[Трек: Индустриальный] План работы по проекту:
- определиться с proposal
- сделать драфт с хорошим дизайном исследований",,ML в промышленности; NLP; LLM,,Студент_013,@user_233,,,0,0,,,,,,,,,
avrora assistant (ассистент),,,"Мультиагентные системы, агенты",2026-01-22,11:30:00,,,,Agents,,,,,,2.07,6,,2.67,2.0,1.0,1.83,2.17,2.83,2.0,"Если правильно сделать архитектуру и подумать про масштабируемость, можно довольно много вещей сделать в компании"
"Backend, NLP",Demo Day,,Recsys / предиктивная аналитика,2026-01-22,,,,,NLP,,,,,,0,0,,,,,,,,,
bad — модуль анализа активности,,,Безопасность,2026-01-22,13:45:00,,,,Security,,,,,,2.71,1,,3.0,3.0,2.0,2.0,3.0,3.0,3.0,
behavioral twin llm fusion: разработка системы персонализации языковых моделей на основе адаптивного префикс-тюнинга с поведенческим слиянием,,,LLM,2026-01-23,14:45:00,,,,NLP; RecSys; LLM,,,,,,2.71,2,,3.0,3.0,3.0,3.0,3.0,2.0,2.0,
behavioral_twin_llm_fusion,Научный,,,,,,"[Трек: Научный] Обзор литературы и существующих решений:

Изучение работ по implicit персонализации LLM (User-LLM, PPlug, E2P, ILM, UQABench и др.)

Сравнение архитектурных подходов (soft prompt, cross-attention, Q-Former, prefix tuning)


Подготовка данных:

Подбор датасетов для персонализации (PersonaChat, LaMP, PENS, Amazon/Movielens)

Разработка пайплайна препроцессинга: разделение на поведение пользователя и входной запрос

Подготовка датасетов для ablation-экспериментов


Проектирование собственной архитектуры:

Behavioral Encoder преобразует историю пользователя в векторные представления

Выравнивание behavioral эмбеддингов с пространством LLM через с помощью Q-Former блока

Fusion модуль интегрирует результат в LLM через prefix projection

Архитектура поддерживает расширение на multiple behavioral aspects


Эксперименты и сравнение:

Тренировка модели на выбранных датасетах

Сравнение с бейзлайнами (PPlug)

Метрики: accuracy, perplexity, BLEU/ROUGE

Качественный анализ ответов

Ожидаемый результат: Отчет и код  с анализом проделанных экспериментов. В идеале preprint",Отчет и код  с анализом проделанных экспериментов. В идеале preprint,RecSys; NLP; Research; LLM,,Студент_100,@user_064,,,0,0,,,,,,,,,
Benchmark,Научный,,,,,,"[Трек: Научный] 1. Изучить бенчмарки, сущетсвующие в AI Security.
2. Выделить достоинства и недостатки сущетсвующих решений.
3. Оценить, насколько текуищие бенчмарки обобщаются на мультиагентные системы.
4. Изучить сущетсвующую классификацию атак на мультиагентные системы, и выделить те, которые могут быть покрыты бенчмарками.
5. Разработать методологию, по которой будет бенчмаркаться секьюрность мультиаггентных систем.
6. Собрать небольшой датасет бенчмарка в рамках сущетсвующей методологии.

Ожидаемый результат: Разработать методологию бенчмаркинга мультиагентных систем и собрать небольшой датасет для тестирования первоначальной гипотезы.",Разработать методологию бенчмаркинга мультиагентных систем и собрать небольшой датасет для тестирования первоначальной гипотезы.,Security; Автономные агенты; Research,,Студент_677,@user_205,,,0,0,,,,,,,,,
bio-inspired multi-agent rl,Научный,1 курс,RL,2026-01-23,14:45:00,,,,Автономные агенты; Research; LLM; NLP; RecSys; RL,LLM; ML; RecSys; Data_Scientist,Студент_088,,https://docs.google.com/presentation/d/1QlbVL9k9drJGBe0-NzdnaV2k0pviyhTj/edit?usp=sharing&ouid=114302135099222674456&rtpof=true&sd=true,,2.29,2,4.0,3.0,2.5,2.5,2.0,2.0,2.0,2.0,
Bio-inspired Multi-Agent RL MARL,Научный,,,,,,"[Трек: Научный] Первичный  анализ готовых экспериментальных данных
Обзор литературы
Поиск подходящей модели для описания экспериментальных данных

Ожидаемый результат: Написание научной статьи",Написание научной статьи,Автономные агенты; Research,,Студент_088,@user_402,,,0,0,,,,,,,,,
Biogotchi,Стартап,1 курс,Презентация проектов перед бизнес - партнерами,2026-01-23,14:30:00,,"[Трек: Стартап] - Разработать концепцию проекта и определить образ финального результата
- Определить состав MVP-решения со сроком до конца первого семестра
- Составить Roadmap-проекта 
- Определить метрики на MVP

Ожидаемый результат: Проработана концепция определен roadmap",Проработана концепция определен roadmap,CV; Business; Стартап,CV; ML,Студент_431,@user_600,https://drive.google.com/drive/folders/1njIgqZb4PEPttMfnlCNlSEdbA22oH-Vo?usp=sharing,,2.33,1,5.0,3.0,2.0,1.0,2.0,,3.0,3.0,
Biogotchi x Genotek,Индустриальный,2 курс,Прожарка,2026-01-23,14:00:00,,"[Трек: Индустриальный] 1. Изучение научных работ
2. Поиск датасетов
3. Постановка гипотез, проверка
4. Разработка baseline решения, написание inference для интеграции в ЛК Genotek
5. Разработка улучшений на основе данных/архитектуры

Ожидаемый результат: MVP с первыми фичами",MVP с первыми фичами,Research; ML в промышленности,ML; Data_Scientist; Other,Студент_872,@user_348,https://docs.google.com/presentation/d/1Nzk81y8lR-XdJ9MOvgq-13rmz5gChBG9gf4z1z1pkZA/edit?usp=sharing,,0,0,5.0,,,,,,,,
"call, reward, repeat: advancing dialog state tracking with grpo and function calling",,,NLP,2026-01-23,11:00:00,,,,NLP,,,,,,2.57,2,,3.0,2.5,3.0,2.5,2.0,2.0,3.0,
carcv,,,Прожарка,2026-01-23,16:00:00,,,,CV,,,,,,0,0,,,,,,,,,
CityFlow Ai,Стартап,,,,,,"[Трек: Стартап] - Структурирование предоставленных источников и оцифровка части из них через OCR.
- Настроить векторную базу данных с простой и удобной функцией добавления/обновления источников.
- Расширить сценарии для студентов и преподавателей за счет нового функционала (разные команды для разных пользователей, интерактивные диалоги).
- Отточить системный промпт, описывающий роль и стиль общения «Джейн».
- Рассмотреть fine-tuning как возможный следующий шаг для закрепления уникального стиля при наличии данных.

Ожидаемый результат: Телеграм бот содержит два новых сценария - генерация идей для НИР для студентов и помощь преподавателю в разработке практических заданий",Телеграм бот содержит два новых сценария - генерация идей для НИР для студентов и помощь преподавателю в разработке практических заданий,CV; Стартап,,Студент_316,@user_356,,,0,0,,,,,,,,,
Classic ML + AB-тесты,Demo Day,,NLP,2026-01-22,,,,,,,,,,,0,0,,,,,,,,,
"cognitive biases in llms: empirical study студент_914,",,,LLM,2026-01-23,13:30:00,,,,EdTech; NLP; LLM,,,,,,2.71,1,,3.0,3.0,3.0,3.0,3.0,3.0,1.0,
combinatorial bias in attention for cv,,,CV,2026-01-23,16:00:00,,,,CV,,,,,,1.86,1,,3.0,1.0,2.0,1.0,2.0,3.0,1.0,"Исследование в самой начальной стадии, по сути только сформулированы гипотезы. Потенциально может дать фундаментальный результат, но пока не потяны пределы применимости."
Computer Vision,Demo Day,,NLP; Recsys / предиктивная аналитика,2026-01-22,,,,,CV,,,,,,0,0,,,,,,,,,
computer vision autolabeling,,,"Геймификация, визуализация, 3D",2026-01-22,14:30:00,,,,3D/Games; CV,,,,,,1.5,4,,2.0,1.25,1.0,1.0,1.25,2.0,2.0,"Вместо конкуренции с генерализованными решениями сосредоточиться на конкуренции по доменам, разработав специализированное решение"
copilot для gnu/linux: инженерная разработка системы поддержки пользователей и приложений.,,,LLM,2026-01-23,13:30:00,,,,LLM,,,,,,2.14,1,,3.0,3.0,3.0,1.0,1.0,3.0,1.0,"Нужно ссужать тематику работы до конкретных проблем (например тех 2х гипотез, которые были представленны). Единицы поставленны не потому, что работа или доклад плохой, а потому что находится в самом начале и пока ни положительного, ни отрицательного результата нет"
Copilot для Linux: инженерная разработка системы поддержки пользователей и приложений,Научный,1 курс,,,,,"[Трек: Научный] На согласовании у руководителя практики. Согласование ожидается 13.10.2025 в течение дня

Ожидаемый результат: На согласовании у руководителя практики Согласование ожидается 13.10.2025 в течение дня.",На согласовании у руководителя практики Согласование ожидается 13.10.2025 в течение дня.,Автономные агенты; Research; CV; NLP; VLM; LLM,CV; LLM; Agentic_AI; VLM; ML; MLOps,Студент_068,@user_375,https://drive.google.com/drive/folders/1VzV9YT-Hwl6Du1E_sE5A3z1_5CnSHnlX?usp=sharing,,0,0,5.0,,,,,,,,
copilot для врача,Индустриальный,,,,,,"[Трек: Индустриальный] Рефактор архитектуры в рамках курса Архитектура микросервисов
Реализация LocalAgreement для модели транскрибации 
Тестирование новой модели онлайн диаризации
Сбор метрик для транскрибации, диаризации - выбор единой модели, реализ стабильной версии

Ожидаемый результат: стабильная версия сервиса с масштабируемой архитектурой (возможно тестирование в Genotek)",стабильная версия сервиса с масштабируемой архитектурой (возможно тестирование в Genotek),MedTech; ASR; EdTech; ML в промышленности,,Студент_1002,@user_459,,,0,0,,,,,,,,,
cosine-based health index for early-stage wear diagnosis from industrial iot sensor nodes,Научный,2 курс,ML в промышленности,2026-01-23,13:30:00,,,,MedTech; ML; Research,ML; Data_Scientist,Студент_056,,https://drive.google.com/drive/folders/1sQofQ_hV84gUjID_Su5MeHhp9yYTltSs?dmr=1&ec=wgc-drive-hero-goto,,1.86,1,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,
cross-lingual transfer learning for french medical nlp,,,NLP,2026-01-23,10:00:00,,,,NLP,,,,,,1.5,3,,1.33,1.67,2.0,1.0,2.0,1.5,1.0,
Customer Choice Models,Индустриальный,1 курс,"Бизнес - процессы, промышленность",2026-01-22,14:15:00,,"[Трек: Индустриальный] 1. Онбординг
2. Изучение различных статей по теме
3. Эксперименты с изученными архитектурами/моделями из статей
4. Определение наилучшей в поставленной задаче

Ожидаемый результат: Найти и обучить модель, которая бы лучше всего в будущем могла помочь оптимизации ассортимента.","Найти и обучить модель, которая бы лучше всего в будущем могла помочь оптимизации ассортимента.",NLP; ML; ML в промышленности; Business; LLM,LLM; ML; Data_Scientist,Студент_868,@user_344,https://drive.google.com/drive/folders/1QNzT2-cxW79LTe-qm8UWlgdmq9Q-SukJ?usp=sharing,,2.57,1,5.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,
CV (Computer Vision),Demo Day,,NLP; ML в Fintech,2026-01-22,,,,,CV,,,,,,0,0,,,,,,,,,
CV (Computer Vision)		NLP	Автономные агенты,Demo Day,,ML в Fintech,2026-01-22,,,,,CV; NLP; Автономные агенты,,,,,,0,0,,,,,,,,,
"CV (Computer Vision), ML в промышленности",Demo Day,,ML в Fintech,2026-01-22,,,,,CV; ML в промышленности,,,,,,0,0,,,,,,,,,
"CV (Computer Vision), Распознавание речи (Automated Speech Recognition (ASR) / speech-to-text (STT)), Синтез речи (Speech Synthesis / text-to-speech (TTS))",Demo Day,,ML в Fintech,2026-01-22,,,,,ASR; CV; Audio,,,,,,0,0,,,,,,,,,
cv категоризация e-commerce товаров,Индустриальный,2 курс,"Продажи, B2B, услуги, маркетинг, ритэйл",2026-01-22,14:45:00,,,,CV; NLP; ML в промышленности; VLM; Business; LLM,CV; LLM; VLM,Студент_261,,https://drive.google.com/drive/folders/1Ofg6AC_Kz1dDTCk00xPslK1A7mjDLcDF,,3.0,1,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
"CV, ML в промышленности",Demo Day,,"ML в промышленности, RAG, NLP, Автономные агенты; NLP",2026-01-22,,,,,CV; ML в промышленности,,,,,,0,0,,,,,,,,,
"CV, NLP, ASR",Demo Day,,"ML в промышленности, RAG, NLP, Автономные агенты",2026-01-22,,,,,ASR; CV; NLP,,,,,,0,0,,,,,,,,,
"CV, NLP, ASR, TTS",Demo Day,,Recsys / предиктивная аналитика,2026-01-22,,,,,ASR; CV; NLP; Audio,,,,,,0,0,,,,,,,,,
"CV, NLP, EdTech",Demo Day,,Recsys / предиктивная аналитика,2026-01-22,,,,,CV; NLP; EdTech,,,,,,0,0,,,,,,,,,
"CV, NLP, RegTech",Demo Day,,"ML в промышленности, RAG, NLP, Автономные агенты",2026-01-22,,,,,CV; NLP,,,,,,0,0,,,,,,,,,
"CV, NLP, Автономные агенты",Demo Day,,"ML в промышленности, RAG, NLP, Автономные агенты; Recsys / предиктивная аналитика",2026-01-22,,,,,CV; NLP; Автономные агенты,,,,,,0,0,,,,,,,,,
"CV, Recsys / предиктивная аналитика",Demo Day,,NLP,2026-01-22,,,,,CV; RecSys,,,,,,0,0,,,,,,,,,
cv-helper,Индустриальный,1 курс,Прожарка,2026-01-23,16:15:00,,,,CV; ML в промышленности,CV; ML; Data_Scientist,Студент_179,,https://drive.google.com/drive/folders/1pYQfpydMExEkpQLQA3hqsmxOPUo0qQy0?usp=sharing,,0,0,5.0,,,,,,,,
datahub ai-gateway,Индустриальный,2 курс,Безопасность,2026-01-22,15:30:00,,,,Security; Автономные агенты; NLP; ML в промышленности; LLM,LLM; Agentic_AI; Other,Студент_277,,https://docs.google.com/presentation/d/1qhAbrj4uvh_02iSc4KZwD51V-vE0r6G6i89PXBNN8Rc/edit?usp=sharing,,2.71,1,5.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,
DealRocket,Стартап,,,,,,"[Трек: Стартап] В рамках работы предусмотрено 2 сервиса, план работ по каждому из них:

По 1-му сервису:
Оптимизация пайплайна для NER моделей
Оптимизация пайплайна для LLM модели
Улучшение валидации моделей
Добавление скоринга

По 2-му сервису:
Улучшение поиска
Улучшение реранкинга
Разработка архитектуры

Ожидаемый результат: Рабочий и оптимизированный 1-й сервис. Во 2-м сервисе сделан пайплайн для получение и реранжирования кандидатов",Рабочий и оптимизированный 1-й сервис. Во 2-м сервисе сделан пайплайн для получение и реранжирования кандидатов,Стартап; NLP; LLM,,Студент_812,@user_310,,,0,0,,,,,,,,,
dealrocket - сервис поиска b2b клиентов,Индустриальный,2 курс,"Продажи, B2B, услуги, маркетинг, ритэйл",2026-01-22,13:15:00,,,,Автономные агенты; NLP; ML в промышленности; Business; LLM,NLP; LLM; Agentic_AI; ML; MLOps; Data_Scientist,Студент_658,,https://drive.google.com/drive/folders/1xAknoSaMKCC4Z5Ynu9vaiPDOq69PQYiV?usp=sharing,,2.57,1,5.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,
DealRocket.ru,Стартап,,,,,,"[Трек: Стартап] MLOps/DevOps задачи

Ожидаемый результат: 2 завершенные задачи",2 завершенные задачи,Стартап,,Студент_255,@user_336,,,0,0,,,,,,,,,
DealRocket.ru - лучший сервис поиска B2B клиентов в РФ,Индустриальный,,,,,,"[Трек: Индустриальный] 1) Реализовать новый сервис для ранжирования выдачи информации на основе NLP модели
2) Реализовать систему чат бота, который определяет фильтры для пользователя, так как сейчас есть проблема у пользователей. Им трудно разобраться в фильтрах
3) Улучшать систему чат бота и пользовательской истории по средствам обратной связи

Ожидаемый результат: Реализовать отдельный сервис с функцией ранжирования и чат ботом для пользователя",Реализовать отдельный сервис с функцией ранжирования и чат ботом для пользователя,NLP; ML в промышленности,,Студент_658,@user_194,,,0,0,,,,,,,,,
Deep fake detection,Научный,,,,,,"[Трек: Научный] Сота-метод (DreamID) - найти код, сделать энвир и протестить на загруженных видео
Имплементация других методов на открытых датасетах

Ожидаемый результат: Реализованные SOTA методы детекции дипфейков на открытых данных",Реализованные SOTA методы детекции дипфейков на открытых данных,CV; Research,,Студент_063,@user_298,,,0,0,,,,,,,,,
Deep fake recognition,Научный,,,,,,"[Трек: Научный] 1. Ресерч по теме проекта: изучение литературы, существующих решений, текущего этапа работы и при наличии кодовой базы
2. Участие в соревновании с командой проекта The Competition of Fairness in AI Face Detection
3. Поиск и аугментация датасетов для обучения
4. Разработка новых технологий для решения задачи 

*план может корректироваться в зависимости от актуальности задач и дальнейшей работы

Ожидаемый результат: Внести вклад в развитие проекта, поучаствовать в соревновании","Внести вклад в развитие проекта, поучаствовать в соревновании",CV; Research; EdTech,,Студент_114,@user_601,,,0,0,,,,,,,,,
DeepBriefBot,Стартап,1 курс,,,,,"[Трек: Стартап] План

*спринт == неделя, начинаем с 6.10. 

1. Спринт — Маркетинговые исследования и планирование
Описание: Проведение глубокого анализа рынка и конкурентов (например, Botpress, Landbot, ManyChat, Tidio, Voiceflow). Определение целевой аудитории (малый и средний бизнес, маркетологи, основатели без технических навыков) и уникального ценностного предложения (УЦП). Составление первоначального списка функций: интерфейс чата на базе ИИ, визуальный редактор графиков разговоров, интеграция с Telegram, аналитика (конверсии, прерывания, завершения), управление несколькими ботами и модель подписки.
DoD:
Документ с анализом конкурентов и целевой аудитории.
Четко определенный УЦП.
Список приоритетных функций MVP (обязательные и желательные).
Технические требования к бэкенду и фронтенду.

2-3. Спринт — Прототипирование и макет бэкенда
Описание: Дизайнер создает низкодетализированные каркасы для всех основных экранов: чат на базе ИИ, визуальный редактор графиков, панель управления ботом, аналитика, настройки подписки. Бэкенд-разработчик завершает реализацию макетов двух сервисов. Дизайнер дорабатывает прототипы на основе внутренних или предварительных отзывов пользователей. Бэкенд-разработчик проектирует архитектуру системы: хранилище графа диалогов, интеграцию LLM (например, через LangChain или настраиваемую оркестровку запросов), логику авторизации и подписки.
tg-bot-service — обрабатывает входящие/исходящие сообщения Telegram.
admin-service — макет панели администратора с API для управления ботом и диалогами.
DoD:
Кликаемый прототип (Figma/Whimsical).
Рабочие макеты API (со спецификацией Swagger/OpenAPI).
Бот Telegram получает сообщения и отвечает на них (даже с логикой плейсхолдеров).
Обновлённый прототип, протестированный на удобство использования.
Документация по архитектуре бэкенда (схема БД, микросервисы, очереди, кеширование).
Финализированный технологический стек (например, Python/FastAPI, PostgreSQL, Redis, RabbitMQ, Next.js).

4-5. Спринт — Финальный д",,ASR; Стартап; NLP; LLM,,Студент_1119,@user_584,,,0,0,,,,,,,,,
Deepfake detection,Научный,1 курс,CV,2026-01-23,13:30:00,,"[Трек: Научный] До конца октября командной соревнование по теме. При удачном раскладе - статья в научном журнале
При очень хорошем раскладе - статья на конференции А*

Ожидаемый результат: Статья в журнале/сборнике докладов",Статья в журнале/сборнике докладов,VLM; CV; Research,CV; VLM,Студент_875,@user_352,https://drive.google.com/drive/folders/1Y_B01J2MTKRX8KxurRsGjBO_E6mkqXTe,,1.29,1,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,
